machine_name,model_name,board_name,lot_number,model_code,default_date,volume,rest_volume,line_code,productions,divisions_volume
GC05,CN-SBDFJ0CJ,771ANAVI,1198627-10,Y8470813R,2025-10-09,5.0,0,GC03,"{datetime.datetime(2025, 10, 1, 0, 0): 2}",1
GC05,CN-SBDFJ0CJ,771BNAVI,1198627-20,Y8470817R,2025-10-09,2.0,0,GC03,"{datetime.datetime(2025, 10, 1, 0, 0): 2}",1
GC05,CN-SNDFJ0CJ,771BNAVI,1197980-10,Y8470817R,2025-08-07,2.0,0,GC03,"{datetime.datetime(2025, 10, 1, 0, 0): 1}",1
GC05,CN-SNDFJ0CJ,771ANAVI,1197980-20,Y8470813R,2025-08-07,410.0,0,GC03,"{datetime.datetime(2025, 10, 1, 0, 0): 1}",1
GC05,CN-SNDFJ0CJ,771ANAVI,1199045-10,Y8470813R,2025-10-27,410.0,0,GC03,"{datetime.datetime(2025, 10, 1, 0, 0): 1}",1
GC05,CN-SNDFJ0CJ,771ANAVI,1199046-10,Y8470813R,2025-10-27,1.0,0,GC03,"{datetime.datetime(2025, 10, 1, 0, 0): 3}",1
GC05,CN-SNDFJ0CJ,771ANAVI,1199047-10,Y8470813R,2025-10-27,3.0,0,GC03,"{datetime.datetime(2025, 10, 1, 0, 0): 6}",1
GC05,CN-SBDFJ0CJ,771ANAVI,1199048-10,Y8470813R,2025-10-27,6.0,0,GC03,"{datetime.datetime(2025, 10, 1, 0, 0): 6}",1
GC05,CN-SNDFJ0CJ,771BNAVI,1199045-20,Y8470817R,2025-10-27,6.0,0,GC03,"{datetime.datetime(2025, 10, 1, 0, 0): 1}",1
GC05,CN-SNDFJ0CJ,771ANAVI,1199046-20,Y8470813R,2025-10-27,1.0,0,GC03,"{datetime.datetime(2025, 10, 1, 0, 0): 3}",1
GC05,CN-SNDFJ0CJ,771ANAVI,1199047-20,Y8470813R,2025-10-27,3.0,0,GC03,"{datetime.datetime(2025, 10, 1, 0, 0): 6}",1
GC05,CN-SBDFJ0CJ,771ANAVI,1199048-20,Y8470813R,2025-10-27,6.0,0,GC03,"{datetime.datetime(2025, 10, 1, 0, 0): 6}",1
GC05,FH1212C0F,411DNAVI,1198369-10,Y8470724R,2025-09-16,,0,GC20,"{datetime.datetime(2025, 10, 1, 0, 0): 200}",2
GC05,FH1212C0F,MAIN集合,1198369-20,Y8469909R,2025-09-16,200.0,0,GC20,"{datetime.datetime(2025, 10, 1, 0, 0): 200}",2
GC05,FH1212C0F,MAIN集合,-10,Y8469909R,2025-11-02,100.0,0,GC20,"{datetime.datetime(2025, 10, 1, 0, 0): 100}",2
GC05,FH1212C0F,MAIN集合,-20,Y8469909R,2025-11-02,100.0,0,GC20,"{datetime.datetime(2025, 10, 1, 0, 0): 100}",2
GC05,FH1622A0F,MAIN集合,1198205-10,Y8469909R,2025-09-02,140.0,0,GC20,"{datetime.datetime(2025, 10, 1, 0, 0): 240}",1
GC05,FH1622A0F,MAIN,1198444-10,Y8469892R,2025-09-18,240.0,0,GC20,"{datetime.datetime(2025, 10, 1, 0, 0): 50}",1
GC05,FH1682B0F,MAIN,1198383-10,Y8469892R,2025-09-08,170.0,0,GC20,"{datetime.datetime(2025, 10, 1, 0, 0): 60}",2
GC05,FH1682B0F,MAIN集合,1198383-20,Y8469888RA,2025-09-08,60.0,0,GC20,"{datetime.datetime(2025, 10, 1, 0, 0): 60}",2
GC05,FH1682B0F,MAIN集合,1198386-10,Y8469888RA,2025-09-11,60.0,0,GC20,"{datetime.datetime(2025, 10, 1, 0, 0): 180}",2
GC05,FH1682B0F,MAIN集合,1198386-20,Y8469888RA,2025-09-11,180.0,0,GC20,"{datetime.datetime(2025, 10, 1, 0, 0): 180}",2
GC06,CAM-009,CAM-009集合,1198464-10,Y8470133R,2025-09-26,600.0,0,GC12,"{datetime.datetime(2025, 9, 26, 0, 0): 224, datetime.datetime(2025, 9, 29, 0, 0): 376}",8
GC06,CN-SNDDJ0CJ,410BMAIN,1198978-10,Y8470720R,2025-09-29,480.0,0,GC03,"{datetime.datetime(2025, 9, 29, 0, 0): 350, datetime.datetime(2025, 9, 30, 0, 0): 130}",1
GC06,CN-SNDDJ0CJ,410BMAIN,1198979-10,Y8470720R,2025-09-29,480.0,0,GC03,"{datetime.datetime(2025, 9, 30, 0, 0): 480}",1
GC06,CN-SNDDJ0CJ,410BMAIN,1198980-10,Y8470720R,2025-10-01,220.0,0,GC03,"{datetime.datetime(2025, 10, 1, 0, 0): 220}",1
GC06,CN-SNDDJ0CJ,410BMAIN,1198981-10,Y8470720R,2025-10-01,261.0,0,GC03,"{datetime.datetime(2025, 10, 1, 0, 0): 261}",1
GC06,CN-SNDDJ0CJ,410BMAIN,1198982-10,Y8470720R,2025-10-01,480.0,0,GC03,"{datetime.datetime(2025, 10, 1, 0, 0): 30, datetime.datetime(2025, 10, 2, 0, 0): 450}",1
GC06,CN-SNDDJ0CJ,410BMAIN,1199101-10,Y8470720R,2025-10-03,480.0,0,GC03,"{datetime.datetime(2025, 10, 3, 0, 0): 480}",1
GC06,CN-SNDDJ0CJ,410BMAIN,1199102-10,Y8470720R,2025-10-03,480.0,0,GC03,"{datetime.datetime(2025, 10, 3, 0, 0): 30, datetime.datetime(2025, 10, 6, 0, 0): 450}",1
GC06,CN-SNDDJ0CJ,410BMAIN,1199103-10,Y8470720R,2025-10-03,480.0,0,GC03,"{datetime.datetime(2025, 10, 6, 0, 0): 480}",1
GC06,CAM-009,CAM-009集合,1198501-10,Y8470133R,2025-10-06,600.0,0,GC12,"{datetime.datetime(2025, 10, 6, 0, 0): 240, datetime.datetime(2025, 10, 7, 0, 0): 360}",8
GC06,SP-300_MCU_CHASSIS,SEN集合,1199044-10,Y8470790R,2025-10-06,2.0,0,GT19,"{datetime.datetime(2025, 10, 7, 0, 0): 2}",2
GC06,SP-300_MCU_CHASSIS,SEN集合,1198794-10,Y8470790R,2025-10-06,10.0,0,GT19,"{datetime.datetime(2025, 10, 7, 0, 0): 10}",2
GC06,SP-300_MCU_CHASSIS,SEN集合,1199044-20,Y8470790R,2025-10-06,2.0,0,GT19,"{datetime.datetime(2025, 10, 7, 0, 0): 2}",2
GC06,SP-300_MCU_CHASSIS,SEN集合,1198794-20,Y8470790R,2025-10-06,10.0,0,GT19,"{datetime.datetime(2025, 10, 7, 0, 0): 10}",2
GC06,SP-300_MCU_FRONT,SW集合,1198806-10,Y8470800R,2025-10-06,10.0,0,GT19,"{datetime.datetime(2025, 10, 7, 0, 0): 10}",5
GC06,SP-300_MCU_FRONT,SW集合,1198806-20,Y8470800R,2025-10-06,10.0,0,GT19,"{datetime.datetime(2025, 10, 7, 0, 0): 10}",5
GC06,SP-300_MCU_CHASSIS,SEG集合,1198797-10,Y8470792R,2025-10-06,10.0,0,GT19,"{datetime.datetime(2025, 10, 7, 0, 0): 10}",5
GC06,SP-300_MCU_CHASSIS,SEG集合,1198797-20,Y8470792R,2025-10-06,10.0,0,GT19,"{datetime.datetime(2025, 10, 7, 0, 0): 10}",5
GC06,SP-300_MCU_CHASSIS,LED集合,1198799-10,Y8470794R,2025-10-06,10.0,0,GT19,"{datetime.datetime(2025, 10, 7, 0, 0): 10}",5
GC06,SP-300_MCU_CHASSIS,LED集合,1198799-20,Y8470794R,2025-10-06,10.0,0,GT19,"{datetime.datetime(2025, 10, 7, 0, 0): 10}",5
GC06,SP-300_MCU_CHASSIS,DGW集合,1198790-10,Y8470786R,2025-10-06,10.0,0,GT19,"{datetime.datetime(2025, 10, 7, 0, 0): 10}",2
GC06,SP-300_MCU_CHASSIS,DGW集合,1198790-20,Y8470786R,2025-10-06,10.0,0,GT19,"{datetime.datetime(2025, 10, 7, 0, 0): 10}",2
GC06,SP-300_MCU_FRONT,EN集合,1198808-10,Y8470802R,2025-10-06,10.0,0,GT19,"{datetime.datetime(2025, 10, 7, 0, 0): 10}",10
GC06,SP-300_MCU_FRONT,MA集合,1198802-10,Y8470796R,2025-10-06,10.0,0,GT19,"{datetime.datetime(2025, 10, 7, 0, 0): 10}",2
GC06,SP-300_MCU_FRONT,MA集合,1198802-20,Y8470796R,2025-10-06,10.0,0,GT19,"{datetime.datetime(2025, 10, 7, 0, 0): 10}",2
GC06,SP-300_MCU_FRONT,SB集合,1198804-10,Y8470798R,2025-10-06,10.0,0,GT19,"{datetime.datetime(2025, 10, 7, 0, 0): 10}",2
GC06,SP-300_MCU_FRONT,SB集合,1198804-20,Y8470798R,2025-10-06,10.0,0,GT19,"{datetime.datetime(2025, 10, 7, 0, 0): 10}",2
GC06,SP-300_MCU_CHASSIS,MO集合,1198788-10,Y8470784R,2025-10-06,10.0,0,GT19,"{datetime.datetime(2025, 10, 7, 0, 0): 10}",2
GC06,SP-300_MCU_CHASSIS,MO集合,1198788-20,Y8470784R,2025-10-06,10.0,0,GT19,"{datetime.datetime(2025, 10, 8, 0, 0): 10}",2
GC06,SP-300_MCU_CHASSIS,PO集合,1198792-10,Y8470788R,2025-10-06,10.0,0,GT19,"{datetime.datetime(2025, 10, 8, 0, 0): 10}",2
GC06,SP-300_MCU_CHASSIS,PO集合,1198792-20,Y8470788R,2025-10-06,10.0,0,GT19,"{datetime.datetime(2025, 10, 8, 0, 0): 10}",2
GC06,CN-SNDDJ0CJ,410BMAIN,1199104-10,Y8470720R,2025-10-08,480.0,0,GC03,"{datetime.datetime(2025, 10, 8, 0, 0): 480}",1
GC06,CAM-009,CAM-009集合,1198503-10,Y8470133R,2025-10-15,600.0,0,GC12,"{datetime.datetime(2025, 10, 15, 0, 0): 600}",8
GC06,CN-SNDDJ0CJ,410BMAIN,1199101-20,Y8470720R,2025-10-03,480.0,0,GC03,"{datetime.datetime(2025, 10, 3, 0, 0): 480}",1
GC06,CN-SNDDJ0CJ,410BMAIN,1199102-20,Y8470720R,2025-10-03,480.0,0,GC03,"{datetime.datetime(2025, 10, 3, 0, 0): 480}",1
GC06,CN-SNDDJ0CJ,410BMAIN,1199103-20,Y8470720R,2025-10-03,480.0,0,GC03,"{datetime.datetime(2025, 10, 3, 0, 0): 480}",1
GC06,CN-SNDDJ0CJ,410BMAIN,1199104-20,Y8470720R,2025-10-08,480.0,0,GC03,"{datetime.datetime(2025, 10, 8, 0, 0): 480}",1
GC06,CN-SNDDJ0CJ,410BMAIN,1197959-10,Y8470720R,2025-09-05,480.0,0,GC03,"{datetime.datetime(2025, 10, 1, 0, 0): 6}",1
GC06,CN-SNDDJ0CJ,410BMAIN,1197959-20,Y8470720R,2025-09-05,6.0,0,GC03,"{datetime.datetime(2025, 10, 1, 0, 0): 6}",1
GC06,CN-SNDFJ0CJ,410BMAIN,1198623-10,Y8470720R,2025-10-09,6.0,0,GC03,"{datetime.datetime(2025, 10, 1, 0, 0): 3}",1
GC06,CN-SNDFJ0CJ,770AMAIN,1198623-20,Y8470811R,2025-10-09,3.0,0,GC03,"{datetime.datetime(2025, 10, 1, 0, 0): 3}",1
GC06,CN-SNDFJ0CJ,770AMAIN,1197976-10,Y8470811R,2025-08-07,3.0,0,GC03,"{datetime.datetime(2025, 10, 1, 0, 0): 1}",1
GC06,CN-SNDFJ0CJ,770AMAIN,1197976-20,Y8470811R,2025-08-07,410.0,0,GC03,"{datetime.datetime(2025, 10, 1, 0, 0): 1}",1
