品 目 名 称,,指図－工程,,基 準,前 月 累 計,日付,2025-09-26 00:00:00,2025-09-27 00:00:00,2025-09-28 00:00:00,2025-09-29 00:00:00,2025-09-30 00:00:00,2025-10-01 00:00:00,2025-10-02 00:00:00,2025-10-03 00:00:00,2025-10-04 00:00:00,2025-10-05 00:00:00,2025-10-06 00:00:00,2025-10-07 00:00:00,2025-10-08 00:00:00,2025-10-09 00:00:00,2025-10-10 00:00:00,2025-10-11 00:00:00,2025-10-12 00:00:00,2025-10-13 00:00:00,2025-10-14 00:00:00,2025-10-15 00:00:00,2025-10-16 00:00:00,2025-10-17 00:00:00,2025-10-18 00:00:00,ＣＨＩＰ本数,異形　本数,総本数,,,タクト/　　　台　　　(ｓｅｃ）,稼働率(%),,前工程,,切替,取数,
412ALCD集合/REFRS,,Y8470668R,,,480,,,,,,,,,,,,,,,,6.671875,1.328125,,,,,●16ASSY,,,,,E.,16800.0,,,64,台/H,,,,25,
GMC-2101,,1198247-10,,2025-10-09 00:00:00,,GC01,,,,,,,,,,,,,,,24,,,,,,,,,234,3,C.,5616.0,,15.3,0.8,,-,,0.75,6,0.0
MAIN集合/REFB,,Y8469149M,,,24,,,,,,,,,,,,,,,,,0.8775,,,,▲15MT●17ASSY(5),,,,,,E.,72.0,,,188.23529411764707,台/H,GC04,,,40,
GMC-2101,,1198247-20,,2025-10-09 00:00:00,,GC01,,,,,,,,,,,,,,,24,,,,,,,,,362,13,C.,8688.0,,24.2,0.8,,GC04,,0.75,6,0.0
MAIN集合/REFA,,Y8469149M,,,24,,,,,,,,,,,,,,,,,0.9516666666666667,,,,,,,,,,E.,312.0,,,119.00826446280992,台/H,A05,,,40,
NS-2250-48D,,1198784-10,,2025-10-09 00:00:00,,GC16,,,,,,,,,,,,,,,50,,,,,,,,,7,0,C.,350.0,,11,0.8,,-,,0.75,3,0.0
DDC集合/REFB,,Y8469749R,,,50,,,,,,,,,,,,,,,,,0.9409722222222222,,,,,▲21MT●23ASSY(2),,,,,E.,0.0,,,261.8181818181818,台/H,GC04,,,75,
NS-2250-48D,,1198784-20,,2025-10-09 00:00:00,,GC16,,,,,,,,,,,,,,,50,,,,,,,,,5,0,C.,250.0,,11,0.8,,GC04,,0.75,3,0.0
DDC集合/REFA,,Y8469749R,,,50,,,,,,,,,,,,,,,,,0.9409722222222222,,,,,,,,,,E.,0.0,,,261.8181818181818,台/H,AT38,,,75,
XGMC-2101X-DC48V/PSR(N),,1198608-10,,2025-10-15 00:00:00,,GC01,,,,,,,,,,,,,,,,,,,,2,,,,269,4,C.,538.0,,44,0.8,,-,,0.75,2,0.0
MAIN集合/REFB,,Y8470622M,,,2,,,,,,,,,,,,,,▲17MT●22ASSY(2),,,,,,,,0.7805555555555556,,,,,E.,8.0,,,65.45454545454545,台/H,GC04,,,20,
XGMC-2101X-DC48V/PSR(N),,1198613-10,,2025-10-15 00:00:00,,GC01,,,,,,,,,,,,,,,,,,,,48,,,,269,4,C.,12912.0,,44,0.8,,-,,,2,0.0
MAIN集合/REFB,,Y8470622M,,,48,,,,,,,,,,,,,,,,,▲24MT●29ASSY(2),,,,,0.7333333333333334,,,,,E.,192.0,,,65.45454545454545,台/H,GC04,,,20,
XGMC-2101X-DC48V/PSR(N),,1198608-20,,2025-10-15 00:00:00,,GC01,,,,,,,,,,,,,,,,,,,,2,,,,588,49,C.,1176.0,,114,0.8,,GC04,,0.75,2,0.0
MAIN集合/REFA,,Y8470622M,,,2,,,,,,,,,,,,,,,,,,,,,,0.8291666666666666,,,,,E.,98.0,,,25.263157894736842,台/H,,,,20,
XGMC-2101X-DC48V/PSR(N),,1198613-20,,2025-10-15 00:00:00,,GC01,,,,,,,,,,,,,,,,,,,,48,,,,588,49,C.,28224.0,,114,0.8,,GC04,,,2,0.0
MAIN集合/REFA,,Y8470622M,,,48,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,E.,2352.0,,,25.263157894736842,台/H,,,,20,
GMC-2001,,1198250-10,,2025-10-15 00:00:00,,GC01,,,,,,,,,,,,,,,,,,,,48,,,,267,1,C.,12816.0,,55,0.8,,-,,0.8,3,0.0
MAIN集合/REFB,,Y8468908M,,,48,,,,,,,,,,,,,,▲17MT●21ASSY(5),,,,,,,,1.7166666666666668,,,,,E.,48.0,,,52.36363636363637,台/H,GC04,,,40,
GMC-2001,,1198250-20,,2025-10-15 00:00:00,,GC01,,,,,,,,,,,,,,,,,,,,48,,,,367,24,C.,17616.0,,96,0.8,,GC04,,0.8,3,0.0
MAIN集合/REFA,,Y8468908M,,,48,,,,,,,,,,,,,,,,,,,,,,2.4000000000000004,,,,,E.,1152.0,,,30,台/H,A05,,,40,
