,品 目 名 称,,指図－工程,,基 準,前 月 累 計,日付,2025-09-26 00:00:00,2025-09-27 00:00:00,2025-09-28 00:00:00,2025-09-29 00:00:00,2025-09-30 00:00:00,2025-10-01 00:00:00,2025-10-02 00:00:00,2025-10-03 00:00:00,2025-10-04 00:00:00,2025-10-05 00:00:00,2025-10-06 00:00:00,2025-10-07 00:00:00,2025-10-08 00:00:00,2025-10-09 00:00:00,2025-10-10 00:00:00,2025-10-11 00:00:00,2025-10-12 00:00:00,2025-10-13 00:00:00,2025-10-14 00:00:00,2025-10-15 00:00:00,2025-10-16 00:00:00,2025-10-17 00:00:00,2025-10-18 00:00:00,ＣＨＩＰ本数,異形　本数,総本数,,,タクト/　　　台　　　(ｓｅｃ）,稼働率(%),,前工程,,切替,取数,
109,MAIN集合/REFA,,Y8469536R,,,24,,,,,0.9666666666666667,,,,,,,,,,,,,,,,,,,,,,E.,1632.0,,,110.76923076923077,台/H,AT27,,,200,
110,CCDC0014,,-10,,2026-05-11 00:00:00,,GT25,,,480,,,,,,,,,,,,,,,,,,,,,206,44,C.,98880.0,,27.5,0.8,,-,,0.75,8,
111,MAIN集合/REFB,,Y8469536R,,,480,,,,,5.333333333333333,,,,,,,,,,,,,,,,,,,,,,E.,21120.0,,,104.72727272727273,台/H,GC09,,,200,
112,CCDC0014,,-20,,2026-05-11 00:00:00,,GT25,,,480,,,,,,,,,,,,,,,,,,,,,160,68,C.,76800.0,,26,0.8,,GC09,,0.75,8,
113,MAIN集合/REFA,,Y8469536R,,,480,,,,,5.083333333333333,,,,,,,,,,,,,,,,,,,,,,E.,32640.0,,,110.76923076923077,台/H,AT27,,,200,
114,FVA-U4ST,,-10,,2026-01-15 00:00:00,,GC12,,,,,,,,,,,,,,,,,,,,,,,,58,25,C.,58000.0,,34,0.8,,-,,0.75,1,
115,FVA-U4ST集合/REFA,,Y8470131R,,,1000,2026年,,,,0.75,,,,,,,,,,,,,,,,,,,,,,E.,25000.0,,,84.70588235294117,台/H,GC09,,,25,
116,FVA-U4ST,,-20,,2026-01-15 00:00:00,,GC12,,,,,,,,,,,,,,,,,,,,,,,,50,17,C.,50000.0,,34,0.8,,GC09,,0.75,1,
117,FVA-U4ST集合/REFB,,Y8470131R,,,1000,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,E.,17000.0,,,84.70588235294117,台/H,MT32,,,25,
118,TRNC-1860B,,1174400-10,,,,GC29,,,,,,,,,,,,,,,,,,,,,,,,680,13,C.,4080.0,,62,0.8,,LASER,,1,1,
119,MAIN/REFB,,Y8469298R,,,6,,,,,1,,,,,,,,,,,,,,,,,,,,,,E.,78.0,,,46.45161290322581,台/H,GC09,,,16,
120,TRNC-1860B,,1174400-20,,,,GC29,,,,,,,,,,,,,,,,,,,,,,,,812,51,C.,4872.0,,80,0.8,,GC09,,1,1,
121,MAIN/REFA,,Y8469298R,,,6,,,,,1,,,,,,,,,,,,,,,,,,,,,,E.,306.0,,,36,台/H,AT11,,,16,
122,EMKG-1000,,1181511-10,,,180,GC22,,,,,,,,,,,,,,,,,,,,,,,,192,20,C.,33600.0,,45,0.8,,-,,0.75,4,
123,MAIN集合/REFA,,Y8469964R,,,175,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,E.,3500.0,,,64,台/H,AT15,,,52,
124,TM-120,,1192202-10,,2025-01-14 00:00:00,,GC04,,,,,50,,,,,,,,,,,,,,,,,,,181,6,C.,9050.0,,37,0.8,,-,,0.75,1,
125,MAIN/REFB,,Y8470224R,,,50,2022/9/30　前回生産,,,,,,1.3923611111111112,,▲20MT●27ASSY(0),,,,,,,,,,,,,,,,,,E.,300.0,,,77.83783783783784,台/H,GC09,,,25,
126,TM-120,,1192202-20,,2025-01-14 00:00:00,,GC04,,,,,50,,,,,,,,,,,,,,,,,,,152,11,C.,7600.0,,32,0.8,,GC09,,0.75,1,
127,MAIN/REFA,,Y8470224R,,,50,,,,,,,1.3055555555555556,,,,,,,,,,,,,,,,,,,,E.,550.0,,,90,台/H,BT01,,,25,
128,TM-300,,1197434-10,,2025-08-04 00:00:00,,GC04,,,,,,,,,,100,,,,,,,,,,,,,,233,13,C.,23300.0,,40,0.8,,-,,0.75,1,
129,MAIN集合/REFB,,Y8470452R,,,100,,,,,,,,,,,,2.138888888888889,,▲6MT●7ASSY(2),,,,,,,,,,,,,E.,1300.0,,,72,台/H,GC09,,,25,
